Cuvant,Pattern_Initial,Incercari,Status
iconografă,******ra**,19,Success
fagocitul,*a**c****,14,Success
apicolilor,*p*c******,9,Success
hipoplazii,h**o******,24,Success
prohodi,**oho**,13,Success
cioplea,***pl**,9,Success
covârșitelor,**v***i*****,21,Success
pârguirile,p***u*****,21,Success
burghierile,**r***er**e,24,Success
samavolnicii,**m*****i*ii,15,Success
cășăiește,*ă*ă***t*,18,Success
sisalul,s*sa***,8,Success
cinerariile,****rar****,8,Success
dezaglomerăm,***a*****r**,23,Success
tetrodă,***r**ă,13,Success
mânjiturii,******ur**,22,Success
desofisticării,*e**f*********,19,Success
tăieri,t***r*,19,Success
gentileților,****il**il**,18,Success
nenorocitul,******ci***,8,Success
înaintă,***i*t*,20,Success
istmicul,******ul,11,Success
ascuțitunghicul,**cu***u****cu*,24,Success
obnubilărilor,o******ă***o*,17,Success
bumbăcelului,****ăc******,17,Success
postăvăriile,****ă*ăr****,16,Success
centrozomul,*e********l,23,Success
debavurase,*****u**s*,16,Success
vramițe,v***i**,18,Success
retori,**t**i,5,Success
epistolarelor,**i***l***l**,10,Success
închiabureați,***h**b******,21,Success
laminatoarea,l*********e*,11,Success
platinez,******ez,11,Success
țăndărelei,***d*r****,19,Success
tevaturi,***a**r*,15,Success
fidanțata,f*d******,18,Success
exondările,e*******le,28,Success
decomandată,****ma**a**,19,Success
omagiali,*m****l*,13,Success
stâlpisem,****p**e*,21,Success
elfilor,el**l**,14,Success
deconcertantele,**c**c***a*****,12,Success
gagicului,***i*u*ui,13,Success
apelarăm,a**la***,12,Success
spermatofitelor,*******of****o*,12,Success
necredincioșilor,***r******o***or,17,Success
cinstețul,***st****,18,Success
neoformațiunii,**o*or********,18,Success
pegmatitul,p*g*******,12,Success
plutuiește,***t**e*te,17,Success
cintezii,*i**e*ii,23,Success
folfăiesc,*o***i***,19,Success
otorinolaringologelor,****i**l**i***l***l**,13,Success
estetizantei,e**e***a**e*,23,Success
balaoacheșă,b*********ă,24,Success
notăriță,*o*ă***ă,19,Success
duleți,d*l***,18,Success
rickettsiozei,****e**s***e*,25,Success
cireșe,c***ș*,4,Success
zgărdat,**ă*d**,23,Success
prețioaselor,*****o***lo*,18,Success
dimprejur,d***r***r,22,Success
bulbucat,**l****t,16,Success
arierdună,*****d*n*,19,Success
flacidei,***ci**i,14,Success
convenționali,******ț****l*,16,Success
cuconiță,******ță,10,Success
neliniștitorului,n***n*ș*********,8,Success
bihindisirile,b********r***,24,Success
împlinirea,***l*n****,20,Success
instigând,i*s*i****,21,Success
recente,r*c****,5,Success
emblemă,e***e*ă,17,Success
singurașul,***g***ș**,11,Success
subsecretarului,****e**et******,10,Success
devitalizaserăm,*e*********e*ă*,23,Success
subapreciez,*****r**i**,23,Success
clasatului,cl*****l**,9,Success
faraonicul,**r**n****,10,Success
înrolărilor,**ro**r**or,20,Success
primeziu,*r*****u,23,Success
cruciatului,c**c*a*****,8,Success
prodigatele,p*o********,13,Success
vina,**na,15,Success
cifrarăm,**fr*r**,13,Success
înfruntasem,********s*m,20,Success
vioșeli,**oș***,16,Success
amușiserăți,********ăț*,19,Success
telegrafiară,*e*e*r****r*,15,Success
citronadele,******ad***,9,Success
baschetbaliștilor,**s*************r,24,Success
septicul,**p****l,10,Success
veneno,**n*no,15,Success
gudronăm,****o*ă*,14,Success
cordenciului,c*r***c*****,12,Success
stropșire,st*******,17,Success
foiletonist,f*i*****i**,10,Success
pliciseră,*****s**ă,11,Success
achitat,a***tat,24,Success
